# Wavelength [nm]	Power [dBm]
1505.9080000000	-70.3692371000
1505.9100000000	-69.6358991000
1505.9120000000	-69.4709708000
1505.9140000000	-69.7703270000
1505.9160000000	-71.1167677000
1505.9180000000	-72.5613222000
1505.9200000000	-72.4760332000
1505.9220000000	-71.9318073000
1505.9240000000	-71.1037368000
1505.9260000000	-70.3827822000
1505.9280000000	-70.7297263000
1505.9300000000	-72.3388571000
1505.9320000000	-74.4358129000
1505.9340000000	-74.1941280000
1505.9360000000	-71.3267971000
1505.9380000000	-69.8195002000
1505.9400000000	-70.8577408000
1505.9420000000	-76.2494932000
1505.9440000000	-100.0000000000
1505.9460000000	-100.0000000000
1505.9480000000	-100.0000000000
1505.9500000000	-100.0000000000
1505.9520000000	-83.0898423000
1505.9540000000	-100.0000000000
1505.9560000000	-100.0000000000
1505.9580000000	-100.0000000000
1505.9600000000	-100.0000000000
1505.9620000000	-100.0000000000
1505.9640000000	-100.0000000000
1505.9660000000	-100.0000000000
1505.9680000000	-100.0000000000
1505.9700000000	-100.0000000000
1505.9720000000	-100.0000000000
1505.9740000000	-100.0000000000
1505.9760000000	-100.0000000000
1505.9780000000	-100.0000000000
1505.9800000000	-100.0000000000
1505.9820000000	-100.0000000000
1505.9840000000	-100.0000000000
1505.9860000000	-100.0000000000
1505.9880000000	-100.0000000000
