# Wavelength [nm]	Power [dBm]
1531.1960000000	-100.0000000000
1531.1980000000	-100.0000000000
1531.2000000000	-100.0000000000
1531.2020000000	-100.0000000000
1531.2040000000	-94.2795915000
1531.2060000000	-86.7710561000
1531.2080000000	-84.4821274000
1531.2100000000	-83.0489096000
1531.2120000000	-82.6350297000
1531.2140000000	-83.8865798000
1531.2160000000	-85.7664228000
1531.2180000000	-85.0082153000
1531.2200000000	-84.2536696000
1531.2220000000	-83.1646176000
1531.2240000000	-81.7320565000
1531.2260000000	-81.3063013000
1531.2280000000	-81.7537768000
1531.2300000000	-82.2728716000
1531.2320000000	-82.3050677000
1531.2340000000	-82.6299610000
1531.2360000000	-82.8935406000
1531.2380000000	-83.4506426000
1531.2400000000	-83.4779959000
1531.2420000000	-82.2630561000
1531.2440000000	-81.4330045000
1531.2460000000	-81.1447911000
1531.2480000000	-81.0570462000
1531.2500000000	-80.8922442000
1531.2520000000	-80.7278429000
1531.2540000000	-81.2987104000
1531.2560000000	-82.7996066000
1531.2580000000	-84.5673095000
1531.2600000000	-86.5429635000
1531.2620000000	-88.6911916000
1531.2640000000	-86.8687178000
1531.2660000000	-84.4859753000
1531.2680000000	-83.5904867000
1531.2700000000	-83.4843520000
1531.2720000000	-85.0471484000
1531.2740000000	-88.4024455000
1531.2760000000	-93.0780613000
1531.2780000000	-90.7765764000
1531.2800000000	-86.8164525000
1531.2820000000	-87.0456833000
1531.2840000000	-92.0102073000
1531.2860000000	-100.0000000000
1531.2880000000	-100.0000000000
1531.2900000000	-100.0000000000
1531.2920000000	-100.0000000000
1531.2940000000	-100.0000000000
1531.2960000000	-100.0000000000
1531.2980000000	-94.9898982000
1531.3000000000	-90.9230120000
1531.3020000000	-90.2981774000
1531.3040000000	-90.2989386000
1531.3060000000	-88.6425160000
1531.3080000000	-88.6826468000
1531.3100000000	-90.2241362000
1531.3120000000	-90.2102793000
1531.3140000000	-100.0000000000
1531.3160000000	-100.0000000000
1531.3180000000	-100.0000000000
1531.3200000000	-100.0000000000
1531.3220000000	-100.0000000000
1531.3240000000	-100.0000000000
1531.3260000000	-100.0000000000
1531.3280000000	-100.0000000000
1531.3300000000	-100.0000000000
1531.3320000000	-100.0000000000
1531.3340000000	-99.2505001000
1531.3360000000	-87.7611883000
1531.3380000000	-85.9849041000
1531.3400000000	-85.5783962000
1531.3420000000	-86.2045856000
1531.3440000000	-86.4709313000
1531.3460000000	-86.2276323000
1531.3480000000	-89.0405191000
1531.3500000000	-97.8113507000
1531.3520000000	-94.9418139000
1531.3540000000	-88.1164149000
1531.3560000000	-85.9166211000
1531.3580000000	-85.3308633000
1531.3600000000	-84.7289931000
1531.3620000000	-84.7967410000
1531.3640000000	-84.2790991000
1531.3660000000	-84.0571107000
1531.3680000000	-83.9621293000
1531.3700000000	-83.6836549000
1531.3720000000	-83.3860864000
1531.3740000000	-82.6153212000
1531.3760000000	-82.1191098000
